Question,Answer
How can I book a flight?,You can book a flight online through our official website or mobile app using your email or phone number.
Can I cancel my booking?,"Yes,  you can cancel your booking up to 24 hours before departure. Cancellation charges may apply."
How long does a refund take?,Refunds are usually processed within 5–7 business days after cancellation confirmation.
How will I receive my refund?,"The refund will be credited back to your original payment method,  such as your bank account or credit card."
Can I reschedule my flight?,"Yes,  you can cancel your booking up to 24 hours before departure. Cancellation charges may apply."
Is there a charge for rescheduling?,Rescheduling may include a small change fee plus any fare difference.
What is the baggage allowance?,Each passenger is allowed 15kg check-in baggage and 7kg hand baggage.
What if my baggage is lost?,Please contact the airport baggage service desk immediately and file a report with your ticket ID.
When does online check-in start?,Online check-in opens 48 hours before your flight and closes 2 hours before departure.
What payment methods are accepted?,"We accept major credit/debit cards, UPI  and net banking."
How do I reset my password?,Click “Forgot Password” on the login page and follow the instructions sent to your email.
Can I book multiple tickets at once?,"Yes,  you can cancel your booking up to 24 hours before departure. Cancellation charges may apply."
Are there any discounts for students?,"Yes,  you can cancel your booking up to 24 hours before departure. Cancellation charges may apply."
Can I upgrade my seat?,"Seat upgrades are available during booking or check-in, subject to availability."
How do I contact customer support?,"You can contact us via phone,email  or live chat 24/7."
